datetime / type 	steps 	duration 	fps 	size 	cpus 	timestamp
20260416203329 / DISK 	1919 	128.61 s 	14.13 	2.10 GB 	4 	16/04/2026, 8:33:29 pm
20260416203051 / DISK 	1885 	126.29 s 	14.12 	2.05 GB 	4 	16/04/2026, 8:30:51 pm
20260416202812 / DISK 	2107 	140.94 s 	14.13 	2.31 GB 	4 	16/04/2026, 8:28:12 pm
20260416202526 / DISK 	2053 	137.27 s 	14.10 	2.22 GB 	4 	16/04/2026, 8:25:26 pm
20260416202256 / DISK 	1945 	130.10 s 	14.21 	2.14 GB 	4 	16/04/2026, 8:22:56 pm
20260416201923 / DISK 	2424 	162.06 s 	14.13 	2.63 GB 	4 	16/04/2026, 8:19:23 pm
20260416201542 / DISK 	2343 	156.58 s 	14.15 	2.57 GB 	4 	16/04/2026, 8:15:42 pm
20260416201251 / DISK 	2152 	144.00 s 	14.18 	2.41 GB 	4 	16/04/2026, 8:12:51 pm
20260416201002 / DISK 	1986 	132.90 s 	14.13 	2.18 GB 	4 	16/04/2026, 8:10:02 pm
20260416200721 / DISK 	2100 	140.47 s 	14.20 	2.34 GB 	4 	16/04/2026, 8:07:21 pm
20260416200353 / DISK 	2749 	183.72 s 	14.13 	2.99 GB 	4 	16/04/2026, 8:03:53 pm
20260416200056 / DISK 	2366 	158.22 s 	14.13 	2.59 GB 	4 	16/04/2026, 8:00:56 pm
20260416195550 / DISK 	2660 	177.93 s 	14.12 	2.90 GB 	4 	16/04/2026, 7:55:50 pm
20260416195234 / DISK 	2558 	170.91 s 	14.08 	2.77 GB 	4 	16/04/2026, 7:52:34 pm
20260416194919 / DISK 	2428 	162.76 s 	14.18 	2.68 GB 	4 	16/04/2026, 7:49:19 pm
20260416194559 / DISK 	2507 	167.71 s 	14.14 	2.75 GB 	4 	16/04/2026, 7:45:59 pm
20260416194136 / DISK 	2655 	177.67 s 	14.24 	2.94 GB 	4 	16/04/2026, 7:41:36 pm
20260416193747 / DISK 	2946 	197.52 s 	14.08 	3.20 GB 	4 	16/04/2026, 7:37:47 pm
20260416175448 / DISK 	2754 	185.01 s 	14.20 	3.02 GB 	4 	16/04/2026, 5:54:48 pm
20260416175055 / DISK 	3054 	204.47 s 	14.13 	3.32 GB 	4 	16/04/2026, 5:50:55 pm
20260416174709 / DISK 	2973 	199.18 s 	14.04 	3.22 GB 	4 	16/04/2026, 5:47:09 pm
20260416174232 / DISK 	3395 	227.47 s 	14.14 	3.77 GB 	4 	16/04/2026, 5:42:32 pm
20260416173820 / DISK 	2912 	195.15 s 	14.19 	3.25 GB 	4 	16/04/2026, 5:38:20 pm
20260416173404 / DISK 	3311 	221.95 s 	14.15 	3.66 GB 	4 	16/04/2026, 5:34:04 pm
20260416172220 / DISK 	4317 	288.82 s 	14.07 	4.68 GB 	4 	16/04/2026, 5:22:20 pm
20260416171107 / DISK 	3822 	255.89 s 	14.16 	4.18 GB 	4 	16/04/2026, 5:11:07 pm
20260416170554 / DISK 	3898 	260.86 s 	14.15 	4.25 GB 	4 	16/04/2026, 5:05:54 pm
20260416170149 / DISK 	3294 	220.10 s 	14.14 	3.62 GB 	4 	16/04/2026, 5:01:49 pm
20260416164124 / DISK 	3519 	235.29 s 	14.15 	3.90 GB 	4 	16/04/2026, 4:41:24 pm
20260416163634 / DISK 	3694 	247.02 s 	14.14 	4.08 GB 	4 	16/04/2026, 4:36:34 pm
20260416163221 / DISK 	3144 	210.33 s 	14.11 	3.42 GB 	4 	16/04/2026, 4:32:21 pm
20260416160032 / DISK 	3791 	254.84 s 	14.14 	4.15 GB 	4 	16/04/2026, 4:00:32 pm
20260416155457 / DISK 	4362 	292.02 s 	14.14 	4.81 GB 	4 	16/04/2026, 3:54:57 pm
20260416152640 / DISK 	3619 	242.67 s 	14.17 	4.00 GB 	4 	16/04/2026, 3:26:40 pm
20260416143726 / DISK 	4143 	280.72 s 	14.22 	4.65 GB 	4 	16/04/2026, 2:37:26 pm
20260416143140 / DISK 	4064 	273.11 s 	14.12 	4.51 GB 	4 	16/04/2026, 2:31:40 pm
20260416142446 / DISK 	4668 	311.91 s 	14.10 	5.11 GB 	4 	16/04/2026, 2:24:46 pm
20260416141718 / DISK 	5444 	364.13 s 	14.16 	6.06 GB 	4 	16/04/2026, 2:17:18 pm
20260416141014 / DISK 	5051 	337.98 s 	14.09 	5.50 GB 	4 	16/04/2026, 2:10:14 pm
20260416140208 / DISK 	4876 	325.94 s 	14.09 	5.34 GB 	4 	16/04/2026, 2:02:08 pm
20260416135431 / DISK 	4917 	329.36 s 	14.14 	5.36 GB 	4 	16/04/2026, 1:54:31 pm
20260416134353 / untitled 	4424 	295.95 s 	14.13 	4.86 GB 	4 	16/04/2026, 1:43:53 pm
